VirusTIPname	LeishTIPname
IOCL3643-Lg-2014	IOCL3643-Lg-2014
IOCL3623-Lg-2016	IOCL3623-Lg-2016
IOCL3312-Lg-2010	IOCL3312-Lg-2010
IOCL1594-Lsh-1990	IOCL1594-Lsh-1990
IOCL3539-Lg-2014	IOCL3539-Lg-2014
IOCL3486-Lg-2013	IOCL3486-Lg-2013
IOCL2391-Lg-1997	IOCL2391-Lg-1997
IOCL3357-Lg-2011	IOCL3357-Lg-2011
IOCL3656-Lg-2017	IOCL3656-Lg-2017
IOCL2371-Lg-1997	IOCL2371-Lg-1997
IOCL3574-Ln-2015	IOCL3574-Ln-2015
IOCL3466-Lg-2013	IOCL3466-Lg-2013
IOCL2957-Lg-2007	IOCL2957-Lg-2007
IOCL2057-Lg-1995	IOCL2057-Lg-1995
IOCL3503-Lg-2013	IOCL3503-Lg-2013
IOCL1793-Lg-1991	IOCL1793-Lg-1991
IOCL2407-Lg-1997	IOCL2407-Lg-1997
IOCL2492-Lg-2002	IOCL2492-Lg-2002
IOCL3461-Lg-2013	IOCL3461-Lg-2013
IOCL2116-Lg-1996	IOCL2116-Lg-1996
IOCL3371-Lg-2011	IOCL3371-Lg-2011
IOCL3305-Lg-2011	IOCL3305-Lg-2011
IOCL2095-Lg-1995	IOCL2095-Lg-1995
IOCL2966-Lg-2007	IOCL2966-Lg-2007
IOCL2499-Lb-2002	IOCL2499-Lb-2002
IOCL3473-Lb-2012	IOCL3473-Lb-2012
IOCL3637-Lb-2015	IOCL3637-Lb-2015
IOCL3621-Lb-2015	IOCL3621-Lb-2015
IOCL3548-Lb-2014	IOCL3548-Lb-2014
IOCL3639-Lb-2015	IOCL3639-Lb-2015
IOCL3545-Lb-2014	IOCL3545-Lb-2014
013-2023-Lb-2018	013-2023-Lb-2018
IOCL2495-Lb-2002	IOCL2495-Lb-2002
IOCL3622-Lb-2015	IOCL3622-Lb-2015
IOCl3569-Lb-2014	IOCl3569-Lb-2014
IOCL2494-Lb-2002	IOCL2494-Lb-2002
IOCL3531-Ln-2013	IOCL3531-Ln-2013
IOCL3519-Ln-2013	IOCL3519-Ln-2013
IOCL3516-Ln-2013	IOCL3516-Ln-2013
IOCL3517-Ln-2013	IOCL3517-Ln-2013
IOCL3520-Ln-2013	IOCL3520-Ln-2013
IOCL0854_Ln-1985	IOCL0854_Ln-1985
KU724433.1	KU724433.1
KU724434.1	KU724434.1
KX686068.1	KX686068.1
KX808483.1	KX808483.1
KX808484.1	KX808484.1
KX808485.1	KX808485.1
KX808486.1	KX808486.1
KX808487.1	KX808487.1
KY750607.1	KY750607.1
KY750608.1	KY750608.1
KY750609.1	KY750609.1
KY750610.1	KY750610.1
KY750611.1	KY750611.1
KY750612.1	KY750612.1
KY750613.1	KY750613.1
KY750614.1	KY750614.1
KY750615.1	KY750615.1
KY750616.1	KY750616.1
KY750617.1	KY750617.1
KY750618.1	KY750618.1
KY750619.1	KY750619.1
KY750620.1	KY750620.1
KY750621.1	KY750621.1
KY750622.1	KY750622.1
KY750623.1	KY750623.1
KY750624.1	KY750624.1
KY750625.1	KY750625.1
KY750626.1	KY750626.1
KY750627.1	KY750627.1
KY750628.1	KY750628.1
KY750629.1	KY750629.1
KY750630.1	KY750630.1
M92355.1	M92355.1
OQ673070.1	OQ673070.1
OQ673071.1	OQ673071.1
OQ673072.1	OQ673072.1
OQ673073.1	OQ673073.1
OQ673074.1	OQ673074.1
OQ673075.1	OQ673075.1
OQ673076.1	OQ673076.1
OQ673077.1	OQ673077.1
OQ673078.1	OQ673078.1
OQ673079.1	OQ673079.1
OQ673080.1	OQ673080.1
OQ673081.1	OQ673081.1
OQ673082.1	OQ673082.1
OQ673083.1	OQ673083.1
OQ673084.1	OQ673084.1
OQ673085.1	OQ673085.1
OQ673086.1	OQ673086.1
OQ673087.1	OQ673087.1
OQ673088.1	OQ673088.1
OQ673090.1	OQ673090.1
OQ673091.1	OQ673091.1
OQ673092.1	OQ673092.1
OQ673093.1	OQ673093.1
OQ673094.1	OQ673094.1
OQ673095.1	OQ673095.1
OQ673096.1	OQ673096.1
OQ673097.1	OQ673097.1
OQ673098.1	OQ673098.1
OQ673099.1	OQ673099.1
OQ673100.1	OQ673100.1
U01899.1	U01899.1
